id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
2168,12.10,0.00,36.60,"2025-03-03 12:31:32",1
2167,12.10,0.00,36.80,"2025-03-03 12:11:31",1
2166,11.10,0.00,39.90,"2025-03-03 11:51:31",1
2165,11.80,0.00,35.90,"2025-03-03 10:51:27",1
2164,11.20,0.00,39.00,"2025-03-03 10:31:28",1
2163,12.10,0.00,39.60,"2025-03-03 10:11:27",1
2162,12.80,0.00,37.10,"2025-03-03 09:51:26",1
2161,12.60,0.00,37.30,"2025-03-03 09:31:27",1
2160,12.50,0.00,36.10,"2025-03-03 09:11:25",1
2159,13.70,0.00,34.00,"2025-03-03 08:51:25",1
2158,23.60,0.00,23.30,"2025-03-03 08:31:24",0
2157,41.20,0.00,9.30,"2025-03-03 08:11:24",0
2156,49.10,0.00,7.30,"2025-03-03 07:51:23",0
2155,53.20,0.00,4.30,"2025-03-03 07:31:23",0
2154,54.10,0.00,3.80,"2025-03-03 07:11:22",0
2153,52.30,0.00,4.30,"2025-03-03 06:51:22",0
2152,53.50,0.00,4.20,"2025-03-03 06:31:22",0
2151,50.80,0.00,3.90,"2025-03-03 06:11:20",0
2150,49.90,0.00,4.30,"2025-03-03 05:51:20",0
2149,51.10,0.00,4.80,"2025-03-03 05:31:20",0
2148,49.70,0.00,4.90,"2025-03-03 05:11:19",0
2147,47.50,0.00,5.70,"2025-03-03 04:51:18",0
2146,47.90,10.00,5.40,"2025-03-03 04:31:18",0
2145,46.50,0.00,5.50,"2025-03-03 04:11:18",0
2144,45.50,4.00,6.50,"2025-03-03 03:51:18",0
2143,46.30,0.00,5.80,"2025-03-03 03:31:17",0
2142,43.70,0.00,6.30,"2025-03-03 03:11:16",0
2141,44.60,11.00,7.00,"2025-03-03 02:51:16",0
2140,42.20,32.00,7.60,"2025-03-03 02:31:16",0
2139,43.30,18.00,7.80,"2025-03-03 02:11:16",0
2138,41.70,20.00,8.40,"2025-03-03 01:51:15",0
2137,38.40,34.00,8.30,"2025-03-03 01:31:14",0
2136,39.70,39.00,9.50,"2025-03-03 01:11:14",0
2135,36.80,40.00,9.30,"2025-03-03 00:51:13",0
2134,36.30,42.00,10.50,"2025-03-03 00:31:13",0
2133,33.80,42.00,10.80,"2025-03-03 00:11:11",0
2132,33.60,43.00,12.10,"2025-03-02 23:51:11",0
2131,32.00,42.00,11.70,"2025-03-02 23:31:09",0
2130,31.00,45.00,12.60,"2025-03-02 23:11:09",0
2129,27.50,44.00,15.40,"2025-03-02 22:51:09",0
2128,29.90,46.00,13.20,"2025-03-02 22:31:09",0
2127,26.30,47.00,15.30,"2025-03-02 22:11:09",0
2126,26.10,47.00,16.40,"2025-03-02 21:51:08",0
2125,27.90,48.00,15.10,"2025-03-02 21:31:08",0
2124,27.20,48.00,15.70,"2025-03-02 21:11:08",0
2123,25.20,49.00,17.60,"2025-03-02 20:51:08",0
2122,24.40,49.00,18.20,"2025-03-02 20:31:07",0
2121,24.20,49.00,19.10,"2025-03-02 20:11:07",0
2120,19.90,51.00,20.80,"2025-03-02 19:51:06",0
2119,15.70,51.00,25.40,"2025-03-02 19:31:05",0
2118,15.60,52.00,27.00,"2025-03-02 19:00:11",0
2117,14.50,52.00,29.20,"2025-03-02 18:40:11",0
2116,14.10,52.00,29.90,"2025-03-02 18:20:11",0
2115,9.00,52.00,39.70,"2025-03-02 18:00:10",0
2114,10.30,51.00,35.50,"2025-03-02 17:40:09",0
2113,11.20,52.00,33.00,"2025-03-02 17:20:09",0
2112,7.50,52.00,44.10,"2025-03-02 17:00:08",0
2111,7.50,52.00,43.20,"2025-03-02 16:40:08",0
2110,8.20,53.00,41.10,"2025-03-02 16:20:05",0
2109,7.10,54.00,43.50,"2025-03-02 16:00:07",0
2108,8.50,53.00,41.60,"2025-03-02 15:40:07",0
2107,7.70,53.00,43.50,"2025-03-02 15:20:06",0
2106,8.70,52.00,40.90,"2025-03-02 15:00:05",0
2105,8.00,53.00,42.70,"2025-03-02 14:40:05",0
2104,8.90,55.00,41.70,"2025-03-02 14:20:05",0
2103,9.80,53.00,42.30,"2025-03-02 14:00:05",0
2102,10.30,53.00,40.60,"2025-03-02 13:40:04",0
2101,11.50,53.00,39.10,"2025-03-02 13:20:05",0
2100,11.20,53.00,37.40,"2025-03-02 13:00:04",0
2099,10.30,54.00,41.40,"2025-03-02 12:40:04",0
2098,11.30,53.00,42.50,"2025-03-02 12:20:04",0
2097,11.50,55.00,39.70,"2025-03-02 12:00:03",0
2096,10.70,53.00,42.40,"2025-03-02 11:40:03",0
2095,13.10,52.00,38.00,"2025-03-02 11:20:02",0
2094,14.90,49.00,39.70,"2025-03-02 11:00:01",0
2093,14.10,47.00,38.70,"2025-03-02 10:40:01",0
2092,15.90,46.00,38.20,"2025-03-02 10:20:00",0
2091,17.40,47.00,34.40,"2025-03-02 10:00:00",0
2090,13.50,45.00,36.10,"2025-03-02 09:40:00",0
2089,15.60,45.00,33.50,"2025-03-02 09:19:59",0
2088,15.10,45.00,35.90,"2025-03-02 08:59:58",0
2087,16.80,44.00,32.80,"2025-03-02 08:39:58",0
2086,44.80,44.00,10.30,"2025-03-02 08:19:58",0
2085,54.10,43.00,7.70,"2025-03-02 07:59:57",0
2084,57.90,44.00,4.70,"2025-03-02 07:39:54",0
2083,58.20,45.00,4.20,"2025-03-02 07:19:56",0
2082,59.20,46.00,4.10,"2025-03-02 06:59:56",0
2081,57.70,46.00,4.50,"2025-03-02 06:39:55",0
2080,57.10,46.00,4.50,"2025-03-02 06:19:55",0
2079,55.90,47.00,4.40,"2025-03-02 05:59:54",0
2078,56.70,47.00,5.10,"2025-03-02 05:39:53",0
2077,54.40,47.00,5.10,"2025-03-02 05:19:53",0
2076,54.10,47.00,5.90,"2025-03-02 04:59:53",0
2075,52.60,48.00,5.90,"2025-03-02 04:39:53",0
2074,51.30,49.00,5.80,"2025-03-02 04:19:52",0
