id,humedad_ambiente,humedad_tierra,temperatura,hora,estado_valvula
2168,12.1,0.0,36.6,2025-03-03 12:31:32,1
2167,12.1,0.0,36.8,2025-03-03 12:11:31,1
2166,11.1,0.0,39.9,2025-03-03 11:51:31,1
2165,11.8,0.0,35.9,2025-03-03 10:51:27,1
2164,11.2,0.0,39.0,2025-03-03 10:31:28,1
2163,12.1,0.0,39.6,2025-03-03 10:11:27,1
2162,12.8,0.0,37.1,2025-03-03 09:51:26,1
2161,12.6,0.0,37.3,2025-03-03 09:31:27,1
2160,12.5,0.0,36.1,2025-03-03 09:11:25,1
2159,13.7,0.0,34.0,2025-03-03 08:51:25,1
2158,23.6,0.0,23.3,2025-03-03 08:31:24,0
2157,41.2,0.0,9.3,2025-03-03 08:11:24,0
2156,49.1,0.0,7.3,2025-03-03 07:51:23,0
2155,53.2,0.0,4.3,2025-03-03 07:31:23,0
2154,54.1,0.0,3.8,2025-03-03 07:11:22,0
2153,52.3,0.0,4.3,2025-03-03 06:51:22,0
2152,53.5,0.0,4.2,2025-03-03 06:31:22,0
2151,50.8,0.0,3.9,2025-03-03 06:11:20,0
2150,49.9,0.0,4.3,2025-03-03 05:51:20,0
2149,51.1,0.0,4.8,2025-03-03 05:31:20,0
2148,49.7,0.0,4.9,2025-03-03 05:11:19,0
2147,47.5,0.0,5.7,2025-03-03 04:51:18,0
2146,47.9,10.0,5.4,2025-03-03 04:31:18,0
2145,46.5,0.0,5.5,2025-03-03 04:11:18,0
2144,45.5,4.0,6.5,2025-03-03 03:51:18,0
2143,46.3,0.0,5.8,2025-03-03 03:31:17,0
2142,43.7,0.0,6.3,2025-03-03 03:11:16,0
2141,44.6,11.0,7.0,2025-03-03 02:51:16,0
2140,42.2,32.0,7.6,2025-03-03 02:31:16,0
2139,43.3,18.0,7.8,2025-03-03 02:11:16,0
2138,41.7,20.0,8.4,2025-03-03 01:51:15,0
2137,38.4,34.0,8.3,2025-03-03 01:31:14,0
2136,39.7,39.0,9.5,2025-03-03 01:11:14,0
2135,36.8,40.0,9.3,2025-03-03 00:51:13,0
2134,36.3,42.0,10.5,2025-03-03 00:31:13,0
2133,33.8,42.0,10.8,2025-03-03 00:11:11,0
2132,33.6,43.0,12.1,2025-03-02 23:51:11,0
2131,32.0,42.0,11.7,2025-03-02 23:31:09,0
2130,31.0,45.0,12.6,2025-03-02 23:11:09,0
2129,27.5,44.0,15.4,2025-03-02 22:51:09,0
2128,29.9,46.0,13.2,2025-03-02 22:31:09,0
2127,26.3,47.0,15.3,2025-03-02 22:11:09,0
2126,26.1,47.0,16.4,2025-03-02 21:51:08,0
2125,27.9,48.0,15.1,2025-03-02 21:31:08,0
2124,27.2,48.0,15.7,2025-03-02 21:11:08,0
2123,25.2,49.0,17.6,2025-03-02 20:51:08,0
2122,24.4,49.0,18.2,2025-03-02 20:31:07,0
2121,24.2,49.0,19.1,2025-03-02 20:11:07,0
2120,19.9,51.0,20.8,2025-03-02 19:51:06,0
2119,15.7,51.0,25.4,2025-03-02 19:31:05,0
2118,15.6,52.0,27.0,2025-03-02 19:00:11,0
2117,14.5,52.0,29.2,2025-03-02 18:40:11,0
2116,14.1,52.0,29.9,2025-03-02 18:20:11,0
2115,9.0,52.0,39.7,2025-03-02 18:00:10,0
2114,10.3,51.0,35.5,2025-03-02 17:40:09,0
2113,11.2,52.0,33.0,2025-03-02 17:20:09,0
2112,7.5,52.0,44.1,2025-03-02 17:00:08,0
2111,7.5,52.0,43.2,2025-03-02 16:40:08,0
2110,8.2,53.0,41.1,2025-03-02 16:20:05,0
2109,7.1,54.0,43.5,2025-03-02 16:00:07,0
2108,8.5,53.0,41.6,2025-03-02 15:40:07,0
2107,7.7,53.0,43.5,2025-03-02 15:20:06,0
2106,8.7,52.0,40.9,2025-03-02 15:00:05,0
2105,8.0,53.0,42.7,2025-03-02 14:40:05,0
2104,8.9,55.0,41.7,2025-03-02 14:20:05,0
2103,9.8,53.0,42.3,2025-03-02 14:00:05,0
2102,10.3,53.0,40.6,2025-03-02 13:40:04,0
2101,11.5,53.0,39.1,2025-03-02 13:20:05,0
2100,11.2,53.0,37.4,2025-03-02 13:00:04,0
2099,10.3,54.0,41.4,2025-03-02 12:40:04,0
2098,11.3,53.0,42.5,2025-03-02 12:20:04,0
2097,11.5,55.0,39.7,2025-03-02 12:00:03,0
2096,10.7,53.0,42.4,2025-03-02 11:40:03,0
2095,13.1,52.0,38.0,2025-03-02 11:20:02,0
2094,14.9,49.0,39.7,2025-03-02 11:00:01,0
2093,14.1,47.0,38.7,2025-03-02 10:40:01,0
2092,15.9,46.0,38.2,2025-03-02 10:20:00,0
2091,17.4,47.0,34.4,2025-03-02 10:00:00,0
2090,13.5,45.0,36.1,2025-03-02 09:40:00,0
2089,15.6,45.0,33.5,2025-03-02 09:19:59,0
2088,15.1,45.0,35.9,2025-03-02 08:59:58,0
2087,16.8,44.0,32.8,2025-03-02 08:39:58,0
2086,44.8,44.0,10.3,2025-03-02 08:19:58,0
2085,54.1,43.0,7.7,2025-03-02 07:59:57,0
2084,57.9,44.0,4.7,2025-03-02 07:39:54,0
2083,58.2,45.0,4.2,2025-03-02 07:19:56,0
2082,59.2,46.0,4.1,2025-03-02 06:59:56,0
2081,57.7,46.0,4.5,2025-03-02 06:39:55,0
2080,57.1,46.0,4.5,2025-03-02 06:19:55,0
2079,55.9,47.0,4.4,2025-03-02 05:59:54,0
2078,56.7,47.0,5.1,2025-03-02 05:39:53,0
2077,54.4,47.0,5.1,2025-03-02 05:19:53,0
2076,54.1,47.0,5.9,2025-03-02 04:59:53,0
2075,52.6,48.0,5.9,2025-03-02 04:39:53,0
2074,51.3,49.0,5.8,2025-03-02 04:19:52,0
2073,52.7,49.0,6.7,2025-03-02 03:59:51,0
2072,50.0,49.0,7.2,2025-03-02 03:39:50,0
2071,49.1,49.0,7.4,2025-03-02 03:19:50,0
2070,46.8,50.0,8.0,2025-03-02 02:59:50,0
2069,47.9,51.0,7.7,2025-03-02 02:39:49,0
2068,43.7,50.0,8.5,2025-03-02 02:19:49,0
2067,43.7,51.0,9.3,2025-03-02 01:59:48,0
2066,41.4,52.0,9.2,2025-03-02 01:39:48,0
2065,38.9,51.0,10.6,2025-03-02 01:19:48,0
2064,38.7,52.0,11.0,2025-03-02 00:59:48,0
2063,38.8,52.0,11.8,2025-03-02 00:39:47,0
